metric,predictor,roi,n,beta,p,r_partial
FA,grip_dominant,superior frontal gyrus (posterior segment) left,287,0.00016660543823514263,0.45366973751393225,0.04503951702759634
FA,grip_dominant,superior frontal gyrus (posterior segment) right,287,0.00014660824446179554,0.4822886307946948,0.04223598541270108
FA,grip_dominant,superior frontal gyrus (prefrontal cortex) left,287,0.00015444926019554214,0.3456664317545783,0.056666656026146824
FA,grip_dominant,superior frontal gyrus (prefrontal cortex) right,287,0.00011422007079703978,0.45398311318629014,0.04500829561530277
FA,grip_dominant,superior frontal gyrus (frontal pole) left,287,0.0001606457373087647,0.33783147675752484,0.05759234681865726
FA,grip_dominant,superior frontal gyrus (frontal pole) right,287,7.005275611399922e-05,0.6381441833614174,0.028277152849172295
FA,grip_dominant,middle frontal gyrus (posterior segment) left,287,0.00019806788377247644,0.20894317864718404,0.07545477217840005
FA,grip_dominant,middle frontal gyrus (posterior segment) right,287,0.00011302115890974779,0.532081365338622,0.037563146677733805
FA,grip_dominant,middle frontal gyrus (dorsal prefrontal cortex) left,287,-2.7471987803060033e-07,0.9985270087648883,-0.00011102286329034892
FA,grip_dominant,middle frontal gyrus (dorsal prefrontal cortex) right,287,0.00015372594009019374,0.3631402473971324,0.05464886678768906
FA,grip_dominant,inferior frontal gyrus pars opercularis left,287,0.0002224800766792502,0.263203642140561,0.06720984205960522
FA,grip_dominant,inferior frontal gyrus pars opercularis right,287,-0.00010004627585821554,0.6632081192850328,-0.026185083156474165
FA,grip_dominant,inferior frontal gyrus pars orbitralis left,287,1.832744090631857e-05,0.9094745211206275,0.006837742195749562
FA,grip_dominant,inferior frontal gyrus pars orbitralis right,287,0.00013333492957099324,0.4261256267310637,0.04783310352293483
FA,grip_dominant,inferior frontal gyrus pars triangularis left,287,0.00012109303380724109,0.4491750864980185,0.04548865655950566
FA,grip_dominant,inferior frontal gyrus pars triangularis right,287,0.0001883547082980247,0.29040954585899903,0.06351554818066878
FA,grip_dominant,lateral fronto-orbital gyrus left,287,-0.00013742377262121463,0.4716470227706889,-0.043267473965346075
FA,grip_dominant,lateral fronto-orbital gyrus right,287,-4.177857563766108e-05,0.8165878603356971,-0.013947577372000787
FA,grip_dominant,middle fronto-orbital gyrus left,287,-4.617175352649054e-05,0.8277732070271521,-0.013083059736998427
FA,grip_dominant,middle fronto-orbital gyrus right,287,-0.0003040118553213958,0.15442936037161684,-0.08548384110050634
FA,grip_dominant,gyrus rectus left,287,-0.0001397115972629951,0.3190638360396127,-0.05986717670903143
FA,grip_dominant,gyrus rectus right,287,-0.00017513527128924046,0.21988762109518928,-0.07367912879427804
FA,grip_dominant,postcentral gyrus left,287,3.705345005761504e-05,0.8079017715144006,0.014620901185054465
FA,grip_dominant,postcentral gyrus right,287,3.595981876467128e-05,0.8112420849179653,0.014361757258580632
FA,grip_dominant,precentral gyrus left,287,0.00021512237630885272,0.18587763609032384,0.07942974980955066
FA,grip_dominant,precentral gyrus right,287,0.00017166903113370184,0.31916372985598,0.05985484237065009
FA,grip_dominant,Superior parietal gyrus left,287,-5.941423077706476e-05,0.7777993965490059,-0.016969117880519212
FA,grip_dominant,superior parietal gyrus right,287,-3.2103458198168224e-05,0.8785572134254682,-0.009188865177231404
FA,grip_dominant,supramarginal gyrus left,287,-8.651271552386803e-05,0.5522095825740783,-0.035738009654520474
FA,grip_dominant,supramarginal gyrus right,287,-0.0002961395033094697,0.061746448707078024,-0.11199165953846156
FA,grip_dominant,angular gyrus left,287,0.00020852743054004263,0.24368633984168453,0.07002462005937468
FA,grip_dominant,angular gyrus right,287,6.428140516279949e-05,0.6945997616511698,0.023608291271069698
FA,grip_dominant,pre-cuneus left,287,0.00012527592633666275,0.4456203745490996,0.04584566853721795
FA,grip_dominant,pre-cuneus right,287,-2.8272221490637818e-05,0.8192916803956499,-0.013738342418352041
FA,grip_dominant,superior temporal gyrus left,287,-0.00011164030896174178,0.36537547529748254,-0.054395172001132114
FA,grip_dominant,superior temporal gyrus right,287,-4.543623417054839e-05,0.7342276109476842,-0.020415306282137908
FA,grip_dominant,pole of superior temporal gyrus left,287,-2.674135576845811e-05,0.8325656801042873,-0.012713480331378302
FA,grip_dominant,pole of superior temporal gyrus right,287,-6.837418355625533e-05,0.6047546767554446,-0.031118620524447294
FA,grip_dominant,middle temporal gyrus left,287,7.628442097656237e-05,0.6461124499299101,0.027608467622848708
FA,grip_dominant,middle temporal gyrus right,287,-0.0001448685652190882,0.4423311644355612,-0.04617745554923323
FA,grip_dominant,pole of middle temporal gyrus left,287,-0.0003666393606298093,0.03430732131492982,-0.12676553270444593
FA,grip_dominant,pole of middle temporal gyrus right,287,-0.00023794082480049452,0.19635842474986986,-0.07758147169435281
FA,grip_dominant,inferior temporal gyrus left,287,-0.00033351708195013,0.09299920223665067,-0.10076236052800072
FA,grip_dominant,inferior temporal gyrus right,287,-0.00010448507877271677,0.5829223642360425,-0.033014274611836314
FA,grip_dominant,parahippocampal gyrus left,287,9.545605806820559e-05,0.5526625628033207,0.03569731643707146
FA,grip_dominant,parahippocampal gyrus right,287,5.270448994331598e-05,0.7656835654277973,0.01792135635084342
FA,grip_dominant,entorhinal area left,287,-1.2424041122462066e-05,0.9433877048944426,-0.0042705684143997035
FA,grip_dominant,entorhinal area right,287,1.5040558412642127e-05,0.9265781783079707,0.005541765487467295
FA,grip_dominant,fusiform gyrus left,287,-7.669058578140864e-06,0.9522520746777193,-0.003601012071646905
FA,grip_dominant,fusiform gyrus right,287,-3.8779609272122624e-05,0.7542752257685953,-0.0188220906761567
FA,grip_dominant,superior occipital gyrus left,287,-0.0001974940132107489,0.5170778591636837,-0.03894627835379652
