metric,tier,predictor,roi,n,beta,p,r_partial
FA,primary,dexterity_dominant,IOG_L,287,0.0005074753130587394,0.009211595327195848,0.15565085280838584
FA,primary,dexterity_dominant,IOG_R,287,0.0007605180594396357,5.17134218987097e-05,0.23986203094215056
FA,primary,dexterity_dominant,MOG_L,287,0.0005534695501638294,0.0012184682580519835,0.1926928774820108
FA,primary,dexterity_dominant,MOG_R,287,0.00062655546335536,0.0005319593396858413,0.20608632150339154
FA,primary,dexterity_dominant,SOG_L,287,0.0008493643068964594,0.0036046608515940366,0.17372001806882334
FA,primary,dexterity_dominant,SOG_R,287,0.0005919271271764563,0.01937070644937178,0.13993028295154628
FA,primary,dexterity_nondominant,IOG_L,285,0.00040515088213861585,0.045289349202492876,0.12039250516349137
FA,primary,dexterity_nondominant,IOG_R,285,0.00045472364601333156,0.021232040450522106,0.13838301902978448
FA,primary,dexterity_nondominant,MOG_L,285,0.000350267834014652,0.04878622446880159,0.11851154224212605
FA,primary,dexterity_nondominant,MOG_R,285,0.00034403819858898924,0.06783158547777586,0.10988557288233661
FA,primary,dexterity_nondominant,SOG_L,285,0.0006815924239930746,0.023967353606946056,0.13563506749483933
FA,primary,dexterity_nondominant,SOG_R,285,0.0005264104130669853,0.045581349348856735,0.12023087158541218
MD,primary,dexterity_dominant,IOG_L,287,-8.061432551751817e-07,0.0007387106212487841,-0.20088204072669044
MD,primary,dexterity_dominant,IOG_R,287,-5.064182902163191e-07,0.024387105945154544,-0.13475212398812392
MD,primary,dexterity_dominant,MOG_L,287,-7.335032724818657e-07,0.004868930532681168,-0.1681177370995193
MD,primary,dexterity_dominant,MOG_R,287,-5.593251183711062e-07,0.0281124671436992,-0.131473061881101
MD,primary,dexterity_dominant,SOG_L,287,-1.0484445825156543e-06,0.00632232440661725,-0.1631115448543086
MD,primary,dexterity_dominant,SOG_R,287,-6.566549731542135e-07,0.13154136952676113,-0.09050562032988765
MD,primary,dexterity_nondominant,IOG_L,285,-6.379057682448116e-07,0.01048983862712037,-0.1535517787270392
MD,primary,dexterity_nondominant,IOG_R,285,-5.288230248744818e-07,0.023518982559974377,-0.13606629092990152
